m0,g2,eta,ns,nlev,eigsh_ok,E0,M,Epi,W,WM,m_curv,m_curv_over_M,curv0,vg_max,vg_k5,vg_k5_cs,Ek5,Wfine,c_k5,rel_rms,band_ok,n_fail,frac_min,M2min,M2_k0,M2_kpi,M2_orient,gap_M2,gap_M2_k5,int_gap,twoM,MMp,margin,margin_k,n_Mstar,Mstar,Mstar_parity,Mstar_even,L_mean,L_mean_vac,L_rms,size_rms_raw,size_rms,size_mean,size_excess,vac_dom_weight,xi,xi_fit_ok,x_mean,gate_band,gate_margin,gate_size,gate_xi,gate_M2,feasible,rank,runtime,E1_0,E1_1,E1_2,E1_3,E1_4,E2_0,E2_1,E2_2,E2_3,E2_4
0.3,1.4,2.2,16,60,1,-19.8338,2.56464,3.54975,0.985108,2.52645,2.79279,1.08896,0.358065,0.419765,0.36059,0.361676,2.8178,1.25535,0.928913,0.096897,1,0,0.767172,3.54975,3.81998,3.54975,inverted,0.270237,1.00608,1.99782,5.12928,6.38462,2.32629,3.14159,0,nan,nan,nan,2.50688,1.52613,2.73906,1.36953,0.99921,0.490376,0.490376,0.175459,0.383039,1,nan,1,1,1,1,1,1,21,30.4442,2.564638,2.670265,2.938020,3.263497,3.549747,3.819984,3.824770,3.814965,3.736592,3.549747
0.4,1.4,2.4,16,60,1,-21.1743,2.804,3.88405,1.08006,3.02848,2.53992,0.905821,0.393713,0.460821,0.396365,0.39754,3.08232,1.34925,1.01856,0.0541247,1,0,0.74411,3.88405,4.15325,3.88405,inverted,0.269198,1.0836,2.0816,5.608,6.95725,2.54485,3.14159,0,nan,nan,nan,2.51241,1.51842,2.74687,1.37343,1.00773,0.496993,0.496993,0.177423,0.383921,1,nan,1,1,1,1,1,1,22,28.2913,2.803998,2.920135,3.214454,3.571733,3.884054,4.153252,4.162017,4.160014,4.083367,3.884054
0.4,1.4,2.2,16,60,1,-20.3418,2.74609,3.67873,0.932636,2.5611,3.03001,1.10339,0.330032,0.398244,0.337026,0.338025,2.9811,1.22262,0.923227,0.0885454,1,0,0.797001,3.67873,3.96871,3.67873,inverted,0.289986,0.982408,2.08444,5.49218,6.7148,2.5089,3.14159,0,nan,nan,nan,2.39471,1.41368,2.6237,1.31185,0.97125,0.490515,0.490515,0.202365,0.361547,1,nan,1,1,1,1,1,1,23,35.0826,2.746090,2.843747,3.093813,3.402329,3.678725,3.968711,3.969563,3.950799,3.865145,3.678725
0.3,1.4,2.4,16,60,1,-20.6867,2.62281,3.75957,1.13676,2.98149,2.34712,0.894888,0.426053,0.484262,0.422506,0.423795,2.92166,1.37867,1.02434,0.0587642,1,0,0.710781,3.75957,4.00148,3.75957,inverted,0.24191,1.10389,2.00088,5.24562,6.62429,2.36456,3.14159,0,nan,nan,nan,2.6247,1.63045,2.86164,1.43082,1.0353,0.497124,0.497124,0.153646,0.40646,1,nan,1,1,1,1,1,1,24,41.1259,2.622812,2.748063,3.062064,3.437475,3.759567,4.001477,4.015155,4.024521,3.957786,3.759567
0.7,1.1,2.4,16,60,1,-20.7475,3.04883,4.0796,1.03077,3.14264,2.72201,0.892806,0.367375,0.442449,0.375535,0.376572,3.3106,1.24933,1.02673,0.0451054,1,0,0.704738,4.0796,4.29816,4.0796,inverted,0.218566,1.01375,1.82293,6.09766,7.34699,2.79275,3.14159,1,5.82179,-1,nan,2.40538,1.37118,2.64346,1.32173,1.00187,0.517101,0.517101,0.214207,0.361584,1,nan,1,1,1,1,1,1,25,27.6588,3.048830,3.157569,3.436173,3.778909,4.079598,4.298164,4.312458,4.325033,4.265475,4.079598
0.2,1.4,2.4,16,60,1,-20.2219,2.44249,3.64005,1.19755,2.92502,2.15877,0.883839,0.463226,0.509513,0.451245,0.452679,2.76441,1.40517,1.03028,0.0641294,1,0,0.671703,3.64005,3.84766,3.64005,inverted,0.207614,1.12096,1.91147,4.88499,6.29016,2.18355,-2.35619,0,nan,nan,nan,2.74662,1.7522,2.98555,1.49277,1.06433,0.497212,0.497212,0.131083,0.432194,1,nan,1,1,1,1,1,1,26,26.6598,2.442495,2.578118,2.913832,3.308397,3.640048,3.847662,3.867232,3.890179,3.835741,3.640048
0.6,1.1,2.4,16,60,1,-20.2294,2.86498,3.94816,1.08318,3.10329,2.52994,0.883057,0.395267,0.464284,0.399122,0.400243,3.14484,1.27659,1.03204,0.0487555,1,0,0.674509,3.94816,4.14157,3.94816,inverted,0.193413,1.03338,1.7829,5.72995,7.00655,2.60775,3.14159,1,5.64315,-1,nan,2.50722,1.47102,2.74839,1.37419,1.02888,0.518098,0.518098,0.189053,0.3811,1,nan,1,1,1,1,1,1,27,32.9041,2.864976,2.981653,3.277955,3.637765,3.948158,4.141570,4.160331,4.183471,4.133274,3.948158
0.5,1.4,2.2,16,60,1,-20.871,2.92842,3.81252,0.884109,2.58904,3.27263,1.11754,0.305565,0.3784,0.315754,0.316682,3.14733,1.18886,0.917749,0.0812255,1,0,0.822079,3.81252,4.11728,3.81252,inverted,0.304751,0.957263,2.16177,5.85683,7.04569,2.69388,3.14159,1,5.83093,1,5.83093,2.29223,1.31095,2.51756,1.25878,0.944923,0.49064,0.49064,0.230082,0.342651,1,nan,1,1,1,1,1,1,28,54.9672,2.928416,3.019066,3.253201,3.545882,3.812524,4.117275,4.114874,4.088800,3.997575,3.812524
0.5,1.1,2.4,16,60,1,-19.7317,2.68186,3.82126,1.1394,3.05572,2.34179,0.873198,0.427023,0.487765,0.425019,0.426245,2.98197,1.30228,1.03749,0.0529472,1,0,0.640732,3.82126,3.98414,3.82126,inverted,0.162872,1.05087,1.73738,5.36372,6.66599,2.42531,3.14159,0,nan,nan,nan,2.61788,1.57969,2.86172,1.43086,1.05741,0.519092,0.519092,0.164714,0.403204,1,nan,1,1,1,1,1,1,29,29.3697,2.681859,2.807502,3.123289,3.501211,3.821263,3.984135,4.008028,4.043393,4.004457,3.821263
0.6,1.4,2.2,16,60,1,-21.4195,3.11157,3.95081,0.839242,2.61136,3.52033,1.13137,0.284064,0.36009,0.296521,0.297391,3.31613,1.15475,0.912484,0.0747635,1,0,0.843295,3.95081,4.26632,3.95081,inverted,0.315506,0.931332,2.23032,6.22314,7.37789,2.88076,3.14159,1,6.17564,-1,nan,2.19861,1.21708,2.41987,1.20993,0.920175,0.490763,0.490763,0.258283,0.325926,1,nan,1,1,1,1,1,1,30,30.4354,3.111570,3.196026,3.415784,3.693721,3.950812,4.266318,4.261219,4.229186,4.133776,3.950812
