# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w_meson_ns50_k0.00_v3_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# meson wavepacket at rest (k0=0); sigma_x=0.75; prep fidelity F=0.9946 (ns=8 certificate)
# completed-time grid: dispersion region only -- reproduce the low-omega ridge with a one-sided FT on data/w_meson_ns50_k0.00_v3.npz (see data/README.md)
q0,q1,ReW00,ImW00,window_spread
-0.8000,-0.251327,-5.519721e-03,0.000000e+00,1.021348e-03
-0.8000,0.000000,1.167933e-04,0.000000e+00,7.856862e-04
-0.8000,0.251327,5.990011e-03,0.000000e+00,1.701226e-03
-0.8000,0.502655,1.182226e-02,0.000000e+00,3.757198e-03
-0.8000,0.753982,1.736214e-02,0.000000e+00,7.295171e-03
-0.8000,1.005310,2.268682e-02,0.000000e+00,1.214405e-02
-0.8000,1.256637,2.800249e-02,0.000000e+00,1.847351e-02
-0.8000,1.507964,3.374986e-02,0.000000e+00,2.594189e-02
-0.8000,1.759292,4.019641e-02,0.000000e+00,3.460779e-02
-0.8000,2.010619,4.742821e-02,0.000000e+00,4.399698e-02
-0.8000,2.261947,5.489695e-02,0.000000e+00,5.409054e-02
-0.8000,2.513274,6.153420e-02,0.000000e+00,6.428457e-02
-0.8000,2.764602,6.548627e-02,0.000000e+00,7.451415e-02
-0.8000,3.015929,6.459636e-02,0.000000e+00,8.401066e-02
-0.7600,-3.015929,4.586299e-03,0.000000e+00,9.092396e-02
-0.7600,-2.764602,-1.174735e-02,0.000000e+00,7.429127e-02
-0.7600,-2.513274,-2.160380e-02,0.000000e+00,5.817086e-02
-0.7600,-2.261947,-2.642178e-02,0.000000e+00,4.409956e-02
-0.7600,-2.010619,-2.766633e-02,0.000000e+00,3.261774e-02
-0.7600,-1.759292,-2.680281e-02,0.000000e+00,2.349538e-02
-0.7600,-1.507964,-2.477306e-02,0.000000e+00,1.616429e-02
-0.7600,-1.256637,-2.217983e-02,0.000000e+00,1.058971e-02
-0.7600,-1.005310,-1.908691e-02,0.000000e+00,6.652454e-03
-0.7600,-0.753982,-1.542850e-02,0.000000e+00,4.142572e-03
-0.7600,-0.502655,-1.097978e-02,0.000000e+00,2.231714e-03
-0.7600,-0.251327,-5.753421e-03,0.000000e+00,1.238437e-03
-0.7600,0.000000,1.493042e-04,0.000000e+00,8.868897e-04
-0.7600,0.251327,6.362812e-03,0.000000e+00,1.790432e-03
-0.7600,0.502655,1.260514e-02,0.000000e+00,3.812076e-03
-0.7600,0.753982,1.861661e-02,0.000000e+00,7.520961e-03
-0.7600,1.005310,2.448634e-02,0.000000e+00,1.259666e-02
-0.7600,1.256637,3.043832e-02,0.000000e+00,1.941108e-02
-0.7600,1.507964,3.695183e-02,0.000000e+00,2.743815e-02
-0.7600,1.759292,4.432548e-02,0.000000e+00,3.695257e-02
-0.7600,2.010619,5.267393e-02,0.000000e+00,4.730306e-02
-0.7600,2.261947,6.143781e-02,0.000000e+00,5.875165e-02
-0.7600,2.513274,6.950345e-02,0.000000e+00,7.052951e-02
-0.7600,2.764602,7.490283e-02,0.000000e+00,8.291539e-02
-0.7600,3.015929,7.531725e-02,0.000000e+00,9.492802e-02
-0.7200,-3.015929,1.339824e-02,0.000000e+00,1.060432e-01
-0.7200,-2.764602,-5.504353e-03,0.000000e+00,8.594656e-02
-0.7200,-2.513274,-1.747805e-02,0.000000e+00,6.659938e-02
-0.7200,-2.261947,-2.393556e-02,0.000000e+00,5.017604e-02
-0.7200,-2.010619,-2.636863e-02,0.000000e+00,3.807006e-02
-0.7200,-1.759292,-2.631644e-02,0.000000e+00,2.775702e-02
-0.7200,-1.507964,-2.480192e-02,0.000000e+00,1.934255e-02
