# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w_meson_ns50_k1.26_v3_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# boosted meson wavepacket, k0=2pi/5=1.2566; prep fidelity F=0.9936; signed q1 grid (boost asymmetry)
# completed-time grid: dispersion region only -- reproduce the low-omega ridge with a one-sided FT on data/w_meson_ns50_k1.26_v3.npz (see data/README.md)
q0,q1,ReW00,ImW00,window_spread
-0.7600,-1.507964,-1.770574e-02,0.000000e+00,1.638607e-02
-0.7600,-1.256637,-1.659509e-02,0.000000e+00,1.313765e-02
-0.7600,-1.005310,-1.525613e-02,0.000000e+00,8.266896e-03
-0.7600,-0.753982,-1.352220e-02,0.000000e+00,5.832672e-03
-0.7600,-0.502655,-1.033359e-02,0.000000e+00,2.377748e-03
-0.7600,-0.251327,-5.744839e-03,0.000000e+00,2.047906e-03
-0.7600,0.000000,7.456320e-04,0.000000e+00,1.802720e-03
-0.7600,0.251327,8.532563e-03,0.000000e+00,5.843502e-03
-0.7600,0.502655,1.782281e-02,0.000000e+00,1.105984e-02
-0.7600,0.753982,2.818476e-02,0.000000e+00,2.127625e-02
-0.7600,1.005310,4.049581e-02,0.000000e+00,3.263662e-02
-0.7600,1.256637,5.523697e-02,0.000000e+00,4.839899e-02
-0.7600,1.507964,7.409621e-02,0.000000e+00,6.401817e-02
-0.7600,1.759292,9.765739e-02,0.000000e+00,8.309356e-02
-0.7600,2.010619,1.267135e-01,0.000000e+00,1.014103e-01
-0.7600,2.261947,1.596181e-01,0.000000e+00,1.242223e-01
-0.7600,2.513274,1.940509e-01,0.000000e+00,1.479024e-01
-0.7600,2.764602,2.247433e-01,0.000000e+00,1.789412e-01
-0.7600,3.015929,2.465447e-01,0.000000e+00,2.120006e-01
-0.7200,-3.015929,-6.772304e-03,0.000000e+00,6.339107e-02
-0.7200,-2.764602,-1.678476e-02,0.000000e+00,5.267073e-02
-0.7200,-2.513274,-2.096708e-02,0.000000e+00,4.220363e-02
-0.7200,-2.261947,-2.184749e-02,0.000000e+00,3.316678e-02
-0.7200,-2.010619,-2.057584e-02,0.000000e+00,2.532704e-02
-0.7200,-1.759292,-1.908450e-02,0.000000e+00,2.157533e-02
-0.7200,-1.507964,-1.758403e-02,0.000000e+00,1.563844e-02
-0.7200,-1.256637,-1.669656e-02,0.000000e+00,1.273514e-02
-0.7200,-1.005310,-1.554851e-02,0.000000e+00,7.670381e-03
-0.7200,-0.753982,-1.394322e-02,0.000000e+00,5.565887e-03
-0.7200,-0.502655,-1.076804e-02,0.000000e+00,1.975034e-03
-0.7200,-0.251327,-6.015174e-03,0.000000e+00,2.094291e-03
-0.7200,0.000000,8.794692e-04,0.000000e+00,1.939327e-03
-0.7200,0.251327,9.361641e-03,0.000000e+00,6.714709e-03
-0.7200,0.502655,1.967639e-02,0.000000e+00,1.233433e-02
-0.7200,0.753982,3.141850e-02,0.000000e+00,2.358222e-02
-0.7200,1.005310,4.549284e-02,0.000000e+00,3.553650e-02
-0.7200,1.256637,6.241955e-02,0.000000e+00,5.237419e-02
-0.7200,1.507964,8.394915e-02,0.000000e+00,6.834561e-02
-0.7200,1.759292,1.107452e-01,0.000000e+00,8.800568e-02
-0.7200,2.010619,1.436767e-01,0.000000e+00,1.058857e-01
-0.7200,2.261947,1.811222e-01,0.000000e+00,1.285214e-01
-0.7200,2.513274,2.206790e-01,0.000000e+00,1.512279e-01
-0.7200,2.764602,2.568288e-01,0.000000e+00,1.824377e-01
-0.7200,3.015929,2.839741e-01,0.000000e+00,2.159377e-01
