# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/sigma_vac_ns50.npz
# Re sigma(omega) = omega * ReW00 / q1^2 (Ward identity); band = omega*spread/q1^2
# gap at meson mass M = 2.7451 (excitonic insulator); sum rule saturated to 0.07%
omega,q1,Re_sigma,window_band
1.7000,0.753982,5.030735e-03,1.109071e-02
1.7200,0.251327,1.093217e-02,2.903278e-02
1.7200,0.502655,6.655646e-03,1.509720e-02
1.7200,0.753982,5.538855e-03,1.194528e-02
1.7400,0.251327,1.200015e-02,3.090314e-02
1.7400,0.502655,7.311568e-03,1.612831e-02
1.7400,0.753982,6.090209e-03,1.281071e-02
1.7600,0.251327,1.315430e-02,3.278920e-02
1.7600,0.502655,8.021000e-03,1.715929e-02
1.7600,0.753982,6.687243e-03,1.367888e-02
1.7800,0.251327,1.439881e-02,3.467788e-02
1.7800,0.502655,8.786644e-03,1.818020e-02
1.7800,0.753982,7.332376e-03,1.454099e-02
1.8000,0.251327,1.573774e-02,3.655526e-02
1.8000,0.502655,9.611127e-03,1.918046e-02
1.8000,0.753982,8.027980e-03,1.538757e-02
1.8200,0.251327,1.717498e-02,3.840671e-02
1.8200,0.502655,1.049698e-02,2.014894e-02
1.8200,0.753982,8.776355e-03,1.620859e-02
1.8400,0.251327,1.871419e-02,4.021701e-02
1.8400,0.502655,1.144659e-02,2.107406e-02
1.8400,0.753982,9.579709e-03,1.699354e-02
1.8600,0.251327,2.035877e-02,4.197049e-02
1.8600,0.502655,1.246223e-02,2.194390e-02
1.8600,0.753982,1.044013e-02,1.773152e-02
1.8800,0.251327,2.211181e-02,4.365121e-02
1.8800,0.502655,1.354594e-02,2.274630e-02
1.8800,0.753982,1.135957e-02,1.841132e-02
1.9000,0.251327,2.397602e-02,4.524307e-02
1.9000,0.502655,1.469958e-02,2.346900e-02
1.9000,0.753982,1.233980e-02,1.902158e-02
1.9200,0.251327,2.595374e-02,4.673005e-02
1.9200,0.502655,1.592476e-02,2.409980e-02
1.9200,0.753982,1.338240e-02,1.955085e-02
1.9400,0.251327,2.804683e-02,4.809634e-02
1.9400,0.502655,1.722282e-02,2.462662e-02
1.9400,0.753982,1.448875e-02,1.998779e-02
1.9600,0.251327,3.025667e-02,4.932654e-02
1.9600,0.502655,1.859480e-02,2.503774e-02
1.9600,0.753982,1.565995e-02,2.032123e-02
1.9800,0.251327,3.258412e-02,5.040585e-02
1.9800,0.502655,2.004141e-02,2.532188e-02
1.9800,0.753982,1.689686e-02,2.054035e-02
2.0000,0.251327,3.502944e-02,5.132024e-02
2.0000,0.502655,2.156302e-02,2.546837e-02
2.0000,0.753982,1.820003e-02,2.063479e-02
2.0200,0.251327,3.759228e-02,5.205668e-02
