# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w00_vac_ns50_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# vacuum polarization: ridge along q0 = E(q1) is the meson dispersion
q0,q1,ReW00,ImW00,window_spread
-0.1800,0.753982,-1.335095e-04,1.508624e-06,2.269865e-04
-0.1800,1.005310,-1.968936e-04,1.181370e-06,2.795988e-04
-0.1800,1.256637,-2.762105e-04,3.119574e-07,3.431213e-04
-0.1800,1.507964,-3.509621e-04,-1.056099e-06,2.534025e-04
-0.1800,1.759292,-4.369178e-04,-2.803194e-06,1.191390e-04
-0.1800,2.010619,-5.137070e-04,-4.750670e-06,3.240738e-04
-0.1800,2.261947,-6.007223e-04,-6.685282e-06,6.946510e-04
-0.1800,2.513274,-6.760722e-04,-8.387642e-06,1.209742e-03
-0.1800,2.764602,-7.626675e-04,-9.661053e-06,1.670904e-03
-0.1800,3.015929,-8.344716e-04,-1.035721e-05,2.190822e-03
-0.1400,0.000000,-6.742962e-06,-2.387567e-19,1.085475e-05
-0.1400,0.251327,-3.401408e-05,7.712325e-07,5.845431e-05
-0.1400,0.502655,-7.036442e-05,1.333008e-06,1.179958e-04
-0.1400,0.753982,-1.298341e-04,1.508624e-06,2.732265e-04
-0.1400,1.005310,-1.925282e-04,1.181370e-06,3.668154e-04
-0.1400,1.256637,-2.725395e-04,3.119574e-07,4.912804e-04
-0.1400,1.507964,-3.492152e-04,-1.056099e-06,4.727461e-04
-0.1400,1.759292,-4.386856e-04,-2.803194e-06,4.168915e-04
-0.1400,2.010619,-5.196090e-04,-4.750670e-06,1.549065e-04
-0.1400,2.261947,-6.111149e-04,-6.685282e-06,3.046394e-04
-0.1400,2.513274,-6.899125e-04,-8.387642e-06,8.164654e-04
-0.1400,2.764602,-7.787778e-04,-9.661053e-06,1.312084e-03
-0.1400,3.015929,-8.505988e-04,-1.035721e-05,1.912930e-03
-0.1000,0.000000,-6.311534e-06,7.298223e-19,1.024669e-05
-0.1000,0.251327,-3.250687e-05,7.712325e-07,6.242772e-05
-0.1000,0.502655,-6.703375e-05,1.333008e-06,1.298094e-04
-0.1000,0.753982,-1.247209e-04,1.508624e-06,3.063048e-04
-0.1000,1.005310,-1.860254e-04,1.181370e-06,4.357324e-04
-0.1000,1.256637,-2.660268e-04,3.119574e-07,6.183495e-04
-0.1000,1.507964,-3.441685e-04,-1.056099e-06,6.743937e-04
-0.1000,1.759292,-4.369768e-04,-2.803194e-06,7.071891e-04
-0.1000,2.010619,-5.223582e-04,-4.750670e-06,5.307713e-04
-0.1000,2.261947,-6.191054e-04,-6.685282e-06,2.898109e-04
-0.1000,2.513274,-7.026237e-04,-8.387642e-06,3.497206e-04
-0.1000,2.764602,-7.953060e-04,-9.661053e-06,8.437788e-04
-0.1000,3.015929,-8.689482e-04,-1.035721e-05,1.488635e-03
-0.0600,0.000000,-5.766139e-06,7.748758e-19,1.021637e-05
-0.0600,0.251327,-3.065310e-05,7.712325e-07,6.348063e-05
-0.0600,0.502655,-6.291617e-05,1.333008e-06,1.336922e-04
-0.0600,0.753982,-1.181114e-04,1.508624e-06,3.234770e-04
